,Proxy Ccy =>,AUD,EUR,EUR,GBP,BRL,USD / CNY,CAD,USD / CNY,USD / CNY,COP,DKK,EUR,EUR,EUR,USD,HKD,INR,IDR,EUR,USD,EUR,JPY,USD,EUR,MYR,MXN,USD / CNY,EUR,NZD,NOK,GBP,PHP,PLN,EUR,RUB,SGD,ZAR,KRW,EUR,USD,SEK,CHF,TWD,THB,TRY,GBP,USD
Asset Class,ETF,Australia,Austria,Belgium,Bermuda,Brazil,British Virgin Islands,Canada,Cayman Islands,China,Columbia,Denmark,France,Finland,Germany,Guernsey,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Jersey,Luxembourg,Malaysia,Mexico,Mongolia,Netherland,New Zealand,Norway,Pakistan,Philippines,Poland,Portugal,Russia,Singapore,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Turkey,U.K.,U.S.
Unites States,IVV US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.7%,97.5%
Europe,VGK US,0.5%,0.5%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.9%,14.7%,2.2%,14.6%,0.0%,0.0%,0.0%,0.0%,1.5%,0.0%,3.5%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,1.2%,0.0%,0.0%,0.5%,0.3%,0.0%,0.0%,0.0%,0.0%,3.5%,0.0%,6.0%,15.9%,0.0%,0.0%,0.0%,20.3%,0.2%
Asia ex-Japan,AAXJ US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.9%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,0.0%,0.0%,0.0%,2.3%,0.0%,13.4%,0.0%,0.0%,0.0%,0.0%,13.9%,1.9%,0.0%,0.0%,0.1%
Australia,EWA US,95.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.6%,0.0%
Canada,EWC US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%
Japan,EWJ US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Emerging Markets,SPEM US,0.0%,0.0%,0.0%,0.0%,5.1%,0.0%,0.0%,0.0%,42.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.3%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,0.6%,0.0%,2.7%,0.0%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,14.1%,1.8%,0.5%,0.0%,0.1%
US 1-3M Cash Equiv,BIL US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
US 1-3y Govt Bonds,SHY US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.8%
US 3-10y Govt Bonds,SCHR US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.2%
US REITs,VNQ US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.9%
Global ex-US REITs,VNQI US,8.6%,0.4%,1.7%,0.0%,0.4%,0.0%,2.1%,0.0%,8.3%,0.0%,0.0%,2.2%,0.1%,7.7%,0.1%,0.0%,0.5%,0.2%,0.2%,1.0%,0.0%,21.8%,0.0%,0.9%,0.5%,0.7%,0.0%,0.0%,0.5%,0.2%,0.0%,1.2%,0.0%,0.0%,0.1%,5.9%,0.7%,0.1%,0.6%,0.0%,3.3%,1.8%,0.8%,1.1%,0.1%,6.4%,0.2%
Precious Metals (Gold),GLD US,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-126.6%
